0,1,2,3
1913.0,6120.0,0.0,2.0
8558.0,59401.0,0.0,3.0
8643.0,59402.0,0.0,4.0
9964.0,59403.0,0.0,5.0
11472.0,59404.0,0.0,6.0
13006.0,59405.0,0.0,7.0
17288.0,59406.0,0.0,8.0
17692.0,59407.0,0.0,9.0
19278.0,59408.0,0.0,10.0
21477.0,59409.0,0.0,11.0
21833.0,59410.0,0.0,12.0
22420.0,59411.0,0.0,13.0
22701.0,59412.0,0.0,14.0
23590.0,59413.0,0.0,15.0
25084.0,59414.0,0.0,16.0
27164.0,59415.0,0.0,17.0
27380.0,59416.0,0.0,18.0
27663.0,59417.0,0.0,19.0
27953.0,59418.0,0.0,20.0
28271.0,59419.0,0.0,21.0
30120.0,59420.0,0.0,22.0
32324.0,59421.0,0.0,23.0
33008.0,59422.0,0.0,24.0
33017.0,59423.0,0.0,25.0
33117.0,59424.0,0.0,26.0
34609.0,59425.0,0.0,27.0
39277.0,59426.0,0.0,28.0
39405.0,59427.0,0.0,29.0
39535.0,59428.0,0.0,30.0
39947.0,59429.0,0.0,31.0
40025.0,59430.0,0.0,32.0
41273.0,59431.0,0.0,33.0
41907.0,59432.0,0.0,34.0
42665.0,59433.0,0.0,35.0
42679.0,59434.0,0.0,36.0
44320.0,59435.0,0.0,37.0
44935.0,59436.0,0.0,38.0
45795.0,59437.0,0.0,39.0
45915.0,59438.0,0.0,40.0
46358.0,59439.0,0.0,41.0
46415.0,59440.0,0.0,42.0
48216.0,59441.0,0.0,43.0
48755.0,59442.0,0.0,44.0
48769.0,59443.0,0.0,45.0
49245.0,59444.0,0.0,46.0
49953.0,59445.0,0.0,47.0
53661.0,59446.0,0.0,48.0
53711.0,59447.0,0.0,49.0
53830.0,59448.0,0.0,50.0
54920.0,59449.0,0.0,51.0
55164.0,59450.0,0.0,52.0
56861.0,59451.0,0.0,53.0
57021.0,59452.0,0.0,54.0
57322.0,59453.0,0.0,55.0
57392.0,59454.0,0.0,56.0
58148.0,59455.0,0.0,57.0
58266.0,59456.0,0.0,58.0
59312.0,59457.0,0.0,59.0
47798.0,55763.0,0.0,2.0
18378.0,29027.0,0.0,2.0
27696.0,51147.0,0.0,2.0
17946.0,39346.0,0.0,2.0
762.0,46934.0,0.0,2.0
26168.0,52519.0,0.0,2.0
19345.0,33307.0,0.0,2.0
5806.0,47304.0,0.0,2.0
6500.0,31702.0,0.0,2.0
13453.0,43775.0,0.0,2.0
36013.0,48483.0,0.0,2.0
25768.0,35007.0,0.0,2.0
11424.0,16347.0,0.0,2.0
26014.0,45979.0,0.0,2.0
47354.0,50941.0,0.0,2.0
39944.0,45347.0,0.0,2.0
9379.0,20493.0,0.0,2.0
4902.0,25068.0,0.0,2.0
25312.0,48192.0,0.0,2.0
7950.0,36536.0,0.0,2.0
11888.0,32780.0,0.0,2.0
11195.0,23852.0,0.0,2.0
49684.0,57581.0,0.0,2.0
551.0,29559.0,0.0,2.0
25624.0,52773.0,0.0,2.0
40192.0,56879.0,0.0,2.0
32316.0,42330.0,0.0,2.0
32419.0,35739.0,0.0,2.0
28666.0,46234.0,0.0,2.0
26241.0,48576.0,0.0,2.0
10438.0,29690.0,0.0,2.0
10855.0,33669.0,0.0,2.0
2943.0,44310.0,0.0,2.0
43294.0,50432.0,0.0,2.0
11718.0,48262.0,0.0,2.0
24203.0,37701.0,0.0,2.0
20478.0,30426.0,0.0,2.0
43837.0,48363.0,0.0,2.0
22036.0,40120.0,0.0,2.0
31997.0,39804.0,0.0,2.0
38842.0,49783.0,0.0,2.0
48556.0,54036.0,0.0,2.0
24155.0,51708.0,0.0,2.0
29327.0,33534.0,0.0,2.0
33223.0,38619.0,0.0,2.0
39001.0,58696.0,0.0,2.0
24922.0,28408.0,0.0,2.0
15176.0,40467.0,0.0,2.0
1193.0,34661.0,0.0,2.0
31025.0,45726.0,0.0,2.0
29849.0,35172.0,0.0,2.0
38271.0,50683.0,0.0,2.0
32312.0,52153.0,0.0,2.0
5457.0,35632.0,0.0,2.0
37266.0,57082.0,0.0,2.0
33364.0,53860.0,0.0,2.0
14659.0,19089.0,0.0,2.0
28437.0,51002.0,0.0,2.0
10038.0,38633.0,0.0,2.0
12886.0,13555.0,0.0,2.0
35710.0,45898.0,0.0,2.0
57835.0,58033.0,0.0,2.0
39395.0,49611.0,0.0,2.0
15999.0,54711.0,0.0,2.0
6423.0,37205.0,0.0,2.0
14728.0,39675.0,0.0,2.0
27734.0,35819.0,0.0,2.0
41824.0,56222.0,0.0,2.0
9204.0,23529.0,0.0,2.0
27818.0,35563.0,0.0,2.0
9596.0,53652.0,0.0,2.0
8623.0,45222.0,0.0,2.0
5260.0,44750.0,0.0,2.0
36677.0,47191.0,0.0,2.0
138.0,7376.0,0.0,2.0
39315.0,52510.0,0.0,2.0
40469.0,55227.0,0.0,2.0
4732.0,26995.0,0.0,2.0
34423.0,56983.0,0.0,2.0
19121.0,23253.0,0.0,2.0
5863.0,36577.0,0.0,2.0
15774.0,23947.0,0.0,2.0
9545.0,27791.0,0.0,2.0
17886.0,18369.0,0.0,2.0
4434.0,36942.0,0.0,2.0
41285.0,55635.0,0.0,2.0
31341.0,34753.0,0.0,2.0
27590.0,31767.0,0.0,2.0
1584.0,16696.0,0.0,2.0
20189.0,27631.0,0.0,2.0
55987.0,57193.0,0.0,2.0
6653.0,44130.0,0.0,2.0
12364.0,15744.0,0.0,2.0
31100.0,52140.0,0.0,2.0
34045.0,38316.0,0.0,2.0
16272.0,41129.0,0.0,2.0
5821.0,53402.0,0.0,2.0
33759.0,47975.0,0.0,2.0
8826.0,55948.0,0.0,2.0
18884.0,54009.0,0.0,2.0
11874.0,15061.0,0.0,2.0
22291.0,40515.0,0.0,2.0
17145.0,47598.0,0.0,2.0
21065.0,56004.0,0.0,2.0
46684.0,51239.0,0.0,2.0
29635.0,53780.0,0.0,2.0
47496.0,48810.0,0.0,2.0
12104.0,48683.0,0.0,2.0
2523.0,6281.0,0.0,2.0
32008.0,57451.0,0.0,2.0
34846.0,55114.0,0.0,2.0
20459.0,42029.0,0.0,2.0
14371.0,58636.0,0.0,2.0
28140.0,48677.0,0.0,2.0
21378.0,44077.0,0.0,2.0
35302.0,38023.0,0.0,2.0
