,Aufklärung,Barock,Biedermeier,Expressionismus,Klassik,Naturalismus,Realismus,Romantik
Aufklärung,49,5,0,0,5,0,0,0
Barock,5,35,0,0,0,1,0,0
Biedermeier,1,0,6,0,8,0,12,0
Expressionismus,0,0,0,0,1,7,2,0
Klassik,9,0,6,0,33,0,5,1
Naturalismus,0,1,0,0,0,10,7,1
Realismus,0,0,5,2,9,4,23,0
Romantik,0,0,0,0,5,0,4,0
