,Aufklärung,Barock,Biedermeier,Expressionismus,Klassik,Naturalismus,Realismus,Romantik
Aufklärung,50,4,0,0,5,0,0,0
Barock,7,34,0,0,0,0,0,0
Biedermeier,1,0,6,0,9,0,11,0
Expressionismus,0,0,0,0,2,6,2,0
Klassik,9,0,3,0,37,0,4,1
Naturalismus,0,1,0,0,0,6,11,1
Realismus,0,0,5,0,12,3,23,0
Romantik,0,0,0,0,5,0,4,0
